trade_date,ts_code,open,high,low,close,vol,trend_regime,vol_regime,state,y,hmm_state,hmm_state_label,hmm_p0,hmm_p1,hmm_p2,hmm_p3,hmm_p4
2021-03-24,601995.SH,49.75,54.87,49.75,52.36,30662093,UNK,V4,S5,0,1.0,S5,4.892963420360194e-56,1.0,2.3738987373207155e-26,3.6211293990167895e-21,3.3294201390998496e-60
2021-03-25,601995.SH,51.0,52.58,50.9,51.05,16105540,UNK,V3,S5,0,1.0,S5,2.1098605206091833e-54,1.0,3.6211302113697255e-21,2.730952601560002e-16,3.492880106679084e-53
2021-03-26,601995.SH,50.8,51.39,50.6,50.92,12613493,UNK,V3,S5,1,1.0,S5,1.261679745825942e-43,1.0,2.7309526311505977e-16,1.2915750134076796e-17,8.094916741219065e-51
2021-03-29,601995.SH,50.6,51.79,50.22,50.99,10688888,UNK,V4,S5,1,1.0,S5,1.4413371796112328e-40,1.0,1.303148342779926e-17,3.425385737293071e-16,6.32324221777735e-51
2021-03-30,601995.SH,50.71,51.5,50.71,51.07,9732629,UNK,V4,S5,0,1.0,S5,7.986237565375395e-36,1.0,3.4254191909790126e-16,8.631043002342164e-15,5.4183899293655116e-48
2021-03-31,601995.SH,50.6,50.8,48.81,49.0,14172664,UNK,V4,S5,1,1.0,S5,1.107892526975574e-27,1.0,8.630994324190373e-15,1.2158922060990298e-13,2.709731355266371e-40
2021-04-01,601995.SH,49.09,49.66,48.83,49.45,9480532,UNK,V3,S5,1,1.0,S5,1.0605430859286802e-18,0.9999999999995453,1.2134889269233162e-13,2.797474583725754e-13,2.343401276055345e-37
2021-04-02,601995.SH,49.69,52.52,49.37,51.13,18352657,UNK,V4,S5,0,1.0,S5,7.872148774359878e-19,0.999999999996362,2.793316452903175e-13,3.4069486151725302e-12,1.2234145555105132e-35
2021-04-06,601995.SH,51.13,52.1,51.0,51.3,13266965,UNK,V3,S5,0,1.0,S5,1.9539539433233615e-19,0.9999999997644409,3.3252448349636236e-12,2.32241279541011e-10,2.4285816330951125e-33
2021-04-07,601995.SH,51.16,51.75,50.42,50.74,11045018,UNK,V4,S5,0,1.0,S5,3.5332220328116385e-18,0.9999999386859618,3.1294358994393116e-11,6.128295047035194e-08,3.5343808256621166e-32
2021-04-08,601995.SH,50.4,52.01,50.01,51.43,16969808,UNK,V4,S5,0,1.0,S5,1.2959193977722888e-17,0.9999889622454051,1.1762586161549666e-10,1.1037636934936452e-05,5.339816166743649e-31
2021-04-09,601995.SH,50.75,51.26,50.08,50.11,12198867,UNK,V4,S5,0,1.0,S5,6.774362449255964e-16,0.9981899129269126,4.2372891701780125e-10,0.00181008664934742,4.350196236904718e-27
2021-04-12,601995.SH,49.41,49.84,47.89,47.96,11712324,UNK,V3,S5,1,1.0,S5,6.874009901541809e-11,0.9699259765852982,5.262909945529269e-09,0.030074018083150342,8.27897614882714e-22
2021-04-13,601995.SH,47.88,48.45,47.65,48.11,7821807,UNK,V3,S5,1,1.0,S5,7.903769784233266e-05,0.9112002099499541,1.3425001388696933e-08,0.08872073892713978,3.999766662500968e-18
2021-04-14,601995.SH,47.9,48.88,47.86,48.48,9427370,UNK,V4,S5,1,1.0,S5,0.0007108276685661967,0.5729170641896516,3.330682253815482e-08,0.42637207483482364,1.6463553184884353e-15
2021-04-15,601995.SH,48.23,48.29,47.61,47.77,7173389,UNK,V4,S5,1,3.0,S5,0.004686009006525611,0.21969887343734687,1.1195182771646049e-07,0.7756150056039717,2.1222742459134014e-13
2021-04-16,601995.SH,47.6,48.22,47.6,48.07,6474365,UNK,V4,S5,1,3.0,S5,0.009082164614853947,0.0877467713228311,5.318465429807463e-07,0.903170532214829,7.887405311145095e-13
2021-04-19,601995.SH,47.9,50.3,47.51,50.01,19992396,T2,V4,S4,0,3.0,S5,0.00013205768973492953,0.005295038154548797,1.8760631122506652e-06,0.9945710280922748,2.89254661333796e-13
2021-04-20,601995.SH,49.75,54.5,49.71,51.3,27459775,T2,V3,S4,0,3.0,S5,9.811903738781824e-08,0.00013351550677869107,9.305292137160226e-07,0.9998654558450141,4.249366508298673e-14
2021-04-21,601995.SH,50.63,52.94,50.62,52.28,20296297,UNK,V3,S5,0,3.0,S5,3.244491573253313e-11,1.32576522124878e-05,4.5165209142592e-06,0.9999822257943217,9.161083617178684e-16
2021-04-22,601995.SH,52.28,53.6,51.67,51.79,16825714,UNK,V2,S5,0,3.0,S5,7.800011606146543e-13,5.489950108873587e-06,1.7739000509065918e-05,0.9999767710484267,9.236416296467566e-17
2021-04-23,601995.SH,51.67,53.5,51.67,52.54,15189043,UNK,V4,S5,0,3.0,S5,5.448079959996364e-14,3.907211287254861e-06,4.716162430428518e-05,0.9999489311642958,5.238783284195816e-18
2021-04-26,601995.SH,52.28,52.7,49.6,49.64,20134846,UNK,V2,S5,0,3.0,S5,4.5584878508333156e-14,2.277949294547832e-06,9.310839752244681e-05,0.999904613652963,1.0590701856389375e-16
2021-04-27,601995.SH,49.93,50.08,48.48,49.13,10571304,UNK,V3,S5,0,3.0,S5,4.2063202748060233e-07,1.8996458538193015e-06,9.623598024598306e-07,0.9999967173625228,1.961388137267418e-15
2021-04-28,601995.SH,49.0,49.58,48.57,49.23,8827424,UNK,V4,S5,0,3.0,S5,3.330071025752287e-05,2.223345580057513e-07,1.3241122963341268e-06,0.9999651528424669,5.212091037131982e-13
2021-04-29,601995.SH,48.8,51.81,48.7,51.62,23536514,T2,V4,S4,0,3.0,S5,4.481637615509115e-07,5.398479696434159e-08,0.0002849369310072529,0.9997145609191994,1.3087106608212167e-12
2021-04-30,601995.SH,51.0,51.57,49.6,49.93,17660051,T2,V3,S4,0,3.0,S5,1.1338817430598232e-12,8.959360778659188e-14,0.01247120891891911,0.9875287910798247,3.5260379791701254e-15
2021-05-06,601995.SH,48.04,48.51,44.94,44.94,47896137,UNK,V3,S5,0,2.0,S5,6.921469053431476e-26,3.8891524148587937e-20,0.9999561169544974,4.388304551324644e-05,6.393930503042587e-19
2021-05-07,601995.SH,44.33,44.36,41.78,42.64,46028468,UNK,V3,S5,1,2.0,S5,2.999634452151079e-31,3.669833512605506e-25,0.9999999999986358,1.1859818343789783e-12,5.6714107789253034e-24
2021-05-10,601995.SH,42.11,42.28,41.38,41.92,23761203,T3,V3,S1,1,2.0,S5,4.518488442527076e-32,6.533153421700207e-25,1.0,1.0764758881928814e-22,6.177843446321899e-28
